Id,Name,Type,Sweet,Bitter,Sour,Salty,Umami,Floral,Fruity,Citrus,Woody,Chemical,SweetSmell,Minty,Toasted,Cereal,Decayed
1,"Astra (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
2,"Eclipse (Dual)","",3,8,2,1,2,0,0,0,0,0,0,0,0,0,0
3,"Ella (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
4,"Enigma (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
5,"Feux-Coeur Francais (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
6,"Galaxy (Dual)","",5,7,2,1,2,0,0,0,0,0,0,0,0,0,0
7,"Helga (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
8,"HPA-016 (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
9,"Melba (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
10,"Pride of Ringwood (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
11,"Summer (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
12,"Super Pride (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
13,"Sylva (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
14,"Topaz (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
15,"Vic Secret (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
16,"Vienna Gold (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
17,"Canadian Redvine (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
18,"Lumberjack (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
19,"Sasquatch (Dual)","",4,8,3,1,2,0,0,0,0,0,0,0,0,0,0
20,"Wild Loyalist (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
21,"Marco Polo (Dual)","",4,8,3,1,2,0,0,0,0,0,0,0,0,0,0
